company,industry,csa_score,esg_score,score_under_review,last_updated,search_term,url,scraped_at
Indian Oil Corporation Limited,OGR Oil & Gas Refining & Marketing,60,61,NO,"December 03, 2025",Indian Oil,https://www.spglobal.com/sustainable1/en/scores/results?cid=4157473,2025-12-04T19:40:20.135174
Ledesma Sociedad Anónima Agrícola Industrial,FOA Food Products,,,,,Industrial  Commercial Bank of China,https://www.spglobal.com/sustainable1/en/scores/results?cid=4910522,2025-12-04T19:40:30.721812
"Industrial Bank Co., Ltd.",BNK Banks,40,42,NO,"February 21, 2025",Industrial Bank,https://www.spglobal.com/sustainable1/en/scores/results?cid=4293437,2025-12-04T19:40:41.772288
Intel Corporation,SEM Semiconductors & Semiconductor Equipment,58,60,NO,"October 08, 2024",Intel,https://www.spglobal.com/sustainable1/en/scores/results?cid=4025746,2025-12-04T19:41:35.827167
Intesa Sanpaolo S.p.A.,BNK Banks,88,88,NO,"August 25, 2025",Intesa Sanpaolo,https://www.spglobal.com/sustainable1/en/scores/results?cid=4100801,2025-12-04T19:41:53.083664
J Sainsbury plc,FDR Food & Staples Retailing,45,48,NO,"September 25, 2025",J Sainsbury,https://www.spglobal.com/sustainable1/en/scores/results?cid=4237911,2025-12-04T19:42:10.518258
Jabil Inc.,"ITC Electronic Equipment, Instruments & Components",44,49,NO,"July 18, 2025",Jabil,https://www.spglobal.com/sustainable1/en/scores/results?cid=4069059,2025-12-04T19:42:21.642824
Jardine Matheson Holdings Limited,IDD Industrial Conglomerates,57,58,NO,"November 13, 2025",Jardine Matheson,https://www.spglobal.com/sustainable1/en/scores/results?cid=4020834,2025-12-04T19:42:32.856460
Jiangxi Copper Company Limited,MNX Metals & Mining,32,33,NO,"October 07, 2025",Jiangxi Copper,https://www.spglobal.com/sustainable1/en/scores/results?cid=4351423,2025-12-04T19:43:34.648297
Jinchuan Group International Resources Co. Ltd,MNX Metals & Mining,,,,,Jinchuan Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4361447,2025-12-04T19:43:46.143809
JPMorgan Chase & Co.,BNK Banks,30,33,NO,"March 27, 2025",JPMorgan Chase,https://www.spglobal.com/sustainable1/en/scores/results?cid=100201,2025-12-04T19:44:03.190532
KB Financial Group Inc.,BNK Banks,83,83,NO,"November 19, 2025",KB Financial Group,https://www.spglobal.com/sustainable1/en/scores/results?cid=4217809,2025-12-04T19:44:14.027620
KDDI Corporation,TLS Telecommunication Services,80,80,NO,"November 14, 2025",KDDI,https://www.spglobal.com/sustainable1/en/scores/results?cid=4162702,2025-12-04T19:44:25.395726
Alarko Holding A.S.,IDD Industrial Conglomerates,28,36,NO,"February 10, 2025",Ko Holding,https://www.spglobal.com/sustainable1/en/scores/results?cid=4236925,2025-12-04T19:44:36.460440
Korea Electric Power Corporation,ELC Electric Utilities,76,77,NO,"October 17, 2025",Korea Electric Power,https://www.spglobal.com/sustainable1/en/scores/results?cid=4157507,2025-12-04T19:44:52.031127
The Kroger Co.,FDR Food & Staples Retailing,36,44,NO,"July 16, 2025",Kroger,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004136,2025-12-04T19:45:44.850408
La Poste SA,TRA Transportation and Transportation Infrastructure,,,,,La Poste,https://www.spglobal.com/sustainable1/en/scores/results?cid=4090843,2025-12-04T19:45:55.728307
Lennar Corporation,HOM Homebuilding,17,25,NO,"August 16, 2024",Lennar,https://www.spglobal.com/sustainable1/en/scores/results?cid=4054537,2025-12-04T19:46:06.705570
Lenovo Group Limited,THQ Computers & Peripherals and Office Electronics,55,58,NO,"October 08, 2025",Lenovo,https://www.spglobal.com/sustainable1/en/scores/results?cid=4329903,2025-12-04T19:46:18.208871
"LG Chem, Ltd.",CHM Chemicals,58,59,NO,"November 19, 2025",LG Chem,https://www.spglobal.com/sustainable1/en/scores/results?cid=4336566,2025-12-04T19:46:29.124833
Lockheed Martin Corporation,ARO Aerospace & Defense,51,54,NO,"September 12, 2025",Lockheed Martin,https://www.spglobal.com/sustainable1/en/scores/results?cid=4004271,2025-12-04T19:47:20.540849
