company_name,wba_id,isin,total_score,governance_strategy_score,ecosystems_biodiversity_score,social_community_score,total_rank,governance_strategy_rank,ecosystems_biodiversity_rank,social_community_rank,hq_region,hq_country,sector,industry,year_benchmarked
Koch Foods,PT_01016,NaN,0.0,0.0,0.0,0.0,750,657,722,700,North America,United States,Food and agriculture,Food production,2023
Youngor Group,PT_01980,NO0010208051,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Apparel and footwear,Apparel and footwear,2022
Zhongce Rubber Group,PT_01995,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Tyres and rubber,Tyres and rubber,2022
Tongling Nonferrous Metals Group,PT_01801,BE0974338700,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Wuchan Zhongda Group,PT_01954,CNE000000KF4,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Metals and mining,Metals and mining,2022
Whiting-Turner Contracting,PT_01936,NaN,0.0,0.0,0.0,0.0,750,657,722,700,North America,United States,Construction and engineering,Construction and engineering,2022
C.H. Boehringer Sohn AG & Co,PT_00293,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,Germany,Pharmaceuticals and biotechnology,Pharmaceuticals and biotechnology,2022
Juan Garcia Lax,PT_00981,NaN,0.0,0.0,0.0,0.0,750,657,722,700,Europe & Central Asia,Germany,Food and agriculture,Food production,2023
Rongsheng Petro Chemical,PT_01496,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Chemicals,Chemicals,2022
Southern States Cooperative,PT_01641,NaN,0.0,0.0,0.0,0.0,750,657,722,700,North America,United States,Food and agriculture,Agricultural products,2023
China National Chemical Corporation (ChemChina),PT_00382,NaN,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Chemicals,Chemicals,2022
Hengli Petrochemical,PT_00835,US4016171054,0.0,0.0,0.0,0.0,750,657,722,700,East Asia & Pacific,China,Chemicals,Chemicals,2022
Ezz Steel,PT_02375,CNE100000502,0.0,0.0,0.0,0.0,750,657,722,700,Middle East & North Africa,"Egypt, Arab Rep.",Metals and mining,Metals and mining,2022
Zensho,PT_01989,NO0010208051,0.3,0.0,0.0,0.7,747,657,722,689,East Asia & Pacific,Japan,Food and agriculture,Food retailers,2023
